id,book_id,name,author_id,author_name,rank
114,216041,购买地址（点我就可以了＝ ＝＋）,187199,云狐不喜,33.8903
115,157075,桃花债,39758,大风刮过,33.7362
116,308930,爱莫能弃 - 晋江版,241789,清水慢文,33.7128
117,237921,如此多娇,203581,秦女容,33.6364
118,240098,秦*简(终结版),147068,思诺源,33.6324
119,246438,如意蛋,39758,大风刮过,33.4635
120,107074,网王穿越——颖武元天1,85370,神月离人,33.4536
121,130090,越江吟,99318,南州,33.3766
122,180011,缚石,152356,君芷锍,33.2194
123,219087,人生若只初相见,118220,梅子黄时雨,33.2152
124,137913,小白和精英,3243,顾漫,33.2107
125,330249,狐说魃道(小白的鬼故事系列),3099,水心沙,33.1213
126,948027,穿越之围观大唐,510597,青书无忌,32.9346
127,606004,三步上篮（下）,123203,张鼎鼎,32.8991
128,128864,宝珠鬼话,3099,水心沙,32.7272
129,439197,猎人同人-无处不在的龙套生活,319139,花命罗,32.61
130,334513,淡云来往月疏疏,256098,草芯人,32.5056
131,315243,潇洒如风（女尊),245088,星无言,32.3506
132,977641,逆差,232671,陆离流离,31.9033
133,231824,弄玉风云,126300,禾晏山,31.8481
134,1218063,二分之一教主,253779,扁担一号,31.8234
135,148480,原来你还在这里,122216,辛夷坞,31.788
136,140670,有缘千年来相会,111111,雪影霜魂,31.7496
137,73966,翻译官,53568,缪娟,31.7127
138,1522190,淑妃,677782,晓桥琉水,31.619
139,86428,清风吹散往事如烟灭,68031,楚湘云,31.5364
140,137156,清空万里（清穿文）,7254,星野樱,31.3502
141,1674502,表妹难为,84952,朱砂,31.105
142,317703,复生,225901,爱爬树的鱼,31.0232
143,434194,斑马线（GL）,182419,易白首,30.9607
144,1385700,重生之宠你没商量,61569,金大,30.7068
145,1335351,随身带着淘宝去异界,746104,血歌华章,30.4579
146,249183,末路相逢,31268,晴空蓝兮,30.3387
147,1195355,林小乐在末世,343427,小瓢瓢,30.2142
148,804741,六感,448108,xzozx 沉默,30.0355
149,234610,晴空,112229,周而复始,29.9349
150,178168,寻找影帝,69424,咪呜,29.7837
151,259601,<a href="http://www.jjwxc.net/onebook.php?novelid=327880" target=_blank>女皇陛下的笑话婚姻</a>,187199,云狐不喜,29.4807
152,174634,意外美人,137577,宋云笙,29.0565
153,623041,人间烟火,147641,桔子树,29.0364
154,1066345,慢慢仙途,64614,绝世小白,28.942
155,919611,一夜成名,548977,红枣,28.883
156,1777975,代孕夫,468959,萝卜兔子,28.7386
157,1427195,云鬓凤钗,544211,清歌一片,28.7363
158,527001,三步上篮（上）,123203,张鼎鼎,28.6713
159,478618,东梅问雪(西门吹雪叶孤城同人),340170,四下里,28.62
160,303023,良言写意,16239,木浮生,28.4586
